page,type,raw,translation,note
3,术语,quant trader,量化交易员,quant = quantitative 的缩写；本书主角
3,多义,trading desks,交易台；交易部门,"desk 金融语境=按业务线划分的交易团队，不是""桌子"""
3,多义,capitalize on (his quantitative background),利用（自己的量化背景）,"不是""资本化""；capitalize on = 充分利用"
3,多义,the Street,华尔街,Wall Street 简称；on the Street = 在华尔街工作
3,多义,equity volume,股票成交量,"equity 此处=股票（权益类），不是""公平"""
3,词组,More relevant to his investors,对他的投资人来说更要紧的是,句首状语，引出投资人更关心的点
3,多义,long this stock or short that one,做多这只股票或做空那只,long/short 作动词或形容词=多/空，全书高频
3,多义,universe (of thousands of stocks),（数千只股票的）股票池,"量化术语：模型可交易的标的范围，不是""宇宙"""
3,词组,for the most part,大体上；多数情况下,
3,多义,the health of his strategy,"策略的""健康状况""",指策略是否仍然有效，不是字面的健康
3,词组,on an ongoing basis,持续不断地,on a ... basis = 以…的频率/方式
3,难句,"Despite trading billions of dollars of stock every day, there is no shouting at John's hedge fund, no orders being given over the phone, and no drama in the air.",尽管每天交易数十亿美元的股票，John 的对冲基金里却没有人喊单、没有人打电话下指令、也没有任何紧张戏剧性的气氛。,三个 no 并列排比；drama = 紧张刺激的场面（对比传统交易大厅）
4,难句,The high-frequency efforts Mark and John are working on target a much more ambitious task: looking for smaller opportunities that can make money every day.,Mark 和 John 正在做的高频交易项目瞄准的是一个更有野心的目标：寻找每天都能赚钱的更小的机会。,"易拆错：主语=efforts（后跟省略that的定语从句），target 是动词""瞄准"""
4,多义,loftier,更高远的；更宏大的,"lofty 本义""高耸的""，引申""（目标）远大的"""
4,生词,replicate,复制；复现,
4,多义,accommodate (large investments),容纳（大额资金）,"策略""装不下""大资金（容量有限）；不是""适应"""
4,多义,fleeting,转瞬即逝的,来自 fleet（快速移动）；机会稍纵即逝
4,生词,endeavor,事业；尝试,such an endeavor = 这样一番事业
4,词组,go about their business quietly,低调地做自己的生意,go about sth = 着手/从事
4,生词,top-notch,一流的；顶尖的,notch=刻度；最高刻度=顶级
4,多义,boutique,小型精品公司,"不是""精品店""；金融语境指小而精的机构"
4,多义,a track record that many discretionary managers would envy,一份让许多主观型基金经理都羡慕的业绩,envy 此处动词=羡慕
4,多义,on the opposite end of the spectrum,在光谱的另一端；在另一个极端,spectrum 光谱→（事物的）连续区间，全书高频比喻
4,术语,discretionary,主观决策型的（依赖人的判断，与量化/系统化相对）,"全书最高频对比词：discretionary vs systematic/quant；另一义""自由裁量的"""
4,多义,famed for,以…闻名,= famous for
4,词组,by far,遥遥领先地；无疑,the most famous case by far = 迄今最著名（远超其他）的案例
4,语法,nearly (but for the intervention of Federal Reserve banking officials and a consortium of Wall Street banks) brought the financial world to its knees,若非美联储官员和华尔街银行团出手干预，（LTCM）几乎让整个金融世界崩溃,but for = 若非/要不是（虚拟条件）；括号是插入语，先跳过读主干
4,生词,consortium,财团；银行团,多家机构临时联合体
4,生词,debacle,惨败；崩盘,法语借词；the debacle of August–October 1998 = 98年那场崩盘
4,难句,"The firm, which averaged 30 percent returns after fees for four years, lost nearly 100 percent of its capital in the debacle of August–October 1998 and left many investors both skeptical and afraid of quant traders.",这家公司此前连续四年费后年均回报30%，却在1998年8–10月的崩盘中亏掉了几乎全部资本，让许多投资人从此对量化交易员既怀疑又恐惧。,主干=The firm lost ... and left ...；which 插入语先跳过；leave sb + 形容词=使某人处于某状态
5,语法,"Never mind that it is debatable whether ..., nor that it's questionable whether ...",且不说…本身就有争议，…也同样存疑,Never mind that A nor that B = 世人根本不管A有争议、B也存疑（照样怪罪量化）
5,生词,debatable / questionable,有争议的 / 存疑的,
5,词组,staffed by (PhDs),人员由（博士们）组成,staff 作动词=配备人员
5,词组,guilty by association,连坐；因关联被视为有罪,"不是自己有罪，是被""一类人""连累"
5,多义,posting (a 6 percent loss),录得（6%的亏损）,post a loss/gain = 报出/录得业绩，财经高频
5,多义,was down an estimated 40 percent,下跌了约40%,down 表跌幅；estimated = 估计的
5,生词,rebounded,反弹,
5,词组,for the remainder of the month,在当月余下的时间里,remainder = 剩余部分
5,词组,came to a head,（危机）总爆发；到达顶点,矛盾酝酿已久后爆发；head 原指脓包出头
5,词组,gaps in his logic large enough to drive an 18-wheeler through,他逻辑上的漏洞大得能开进一辆18轮大卡车,夸张修辞=漏洞百出；18-wheeler=美式重型卡车
5,词组,came into the public consciousness,进入公众视野,
5,术语,the Flash Crash,闪电崩盘（2010年5月10日）,美股盘中数分钟暴跌又收回的著名事件
5,词组,various corners of the investment world,投资界的各方人士,corner = 角落→领域里的各方
5,词组,the claims leveled against it,对它提出的种种指控,level charges/claims against sb = 提出指控，固定搭配
5,多义,many other evils,许多其他恶行,evil 作可数名词=罪恶/弊端
5,词组,left the near-total obscurity they enjoyed,告别了他们曾享有的近乎无人知晓的状态,obscurity = 默默无闻；enjoy 此处=拥有（不一定愉快）
5,词组,on a regular basis,经常；定期,
5,词组,leaving aside ...,撇开…不谈,句首状语
5,多义,all of the ills,所有弊病,ill 作名词=弊病、祸害
5,术语,algorithmic execution,算法执行,用软件自动在电子市场执行买卖订单（书中原文定义）
5,多义,worked (any trade ... can be worked),（订单）被拆单执行,work an order = 交易行话：把大单拆小、择机执行
5,术语,discretionary macro trader,主观宏观交易员,凭人为判断做宏观方向交易的人
5,多义,the exclusive domain of,…的专属领地,domain = 领域
5,多义,one footprint of quant strategies,"量化策略的一个""足迹""",footprint = 存在痕迹/影响范围
6,多义,algorithmic trading engines,算法交易系统,engine 引擎→核心软件系统
6,词组,a mere five such quant traders,仅仅五家这样的量化交易机构,mere = 仅仅
6,词组,in aggregate,合计；总共,
6,词组,it is worth noting that,值得注意的是,
6,多义,after all the press surrounding high-frequency trading,尽管高频交易被媒体大量报道之后,"press 此处=媒体报道（不可数），不是""按压"""
6,多义,this figure has grown,这一数字已增长,figure = 数字/数据
6,多义,compounded,以复利计算的；复合增长的,compound 多义：复合/复利/化合物
6,词组,attributable to,可归因于,
6,词组,hold true,同样成立；依然适用,
6,词组,account for (45 percent of the volume),占（成交量的45%）,"account for = 占比；另一义""解释"""
6,生词,pervade,遍布；渗透,quants pervade the marketplace = 量化机构遍布市场
6,术语,CTA (commodity trading advisor),商品交易顾问；实指管理期货基金,用系统化策略交易期货/外汇的机构
6,多义,the most established CTAs,最老牌的CTA,"established = 老牌的、地位稳固的，不是""被建立的"""
6,多义,private investment pools,私募资金池,pool = 资金池
6,多义,"sophisticated, wealthy clients",经验老到的富裕客户,"sophisticated 修饰投资者=成熟/合格的（监管概念），不是""复杂的"""
6,词组,any investment mandate one can dream up,任何你能想出来的投资授权范围,mandate = 授权/委托范围；dream up = 凭空想出
6,多义,one of several arenas,几个领域之一,arena 竞技场→领域
6,术语,proprietary trading desk,自营交易部门,银行用自有资金（非客户资金）交易的部门
6,术语,multistrategy hedge fund,多策略对冲基金,
6,词组,take their share of headlines,免不了常上头条,take one's share of = 承受属于自己的那份
6,生词,markedly (negative),明显地（负面）,mark→marked（显著的）→markedly
7,词组,regardless of their style,无论其风格如何,
7,术语,liquidity,流动性,买卖的容易程度；全书高频
7,词组,went on to reference,接着又引用了,go on to do = 接下来做
7,生词,causal relationship,因果关系,⚠形近词：causal 因果的 ≠ casual 随意的
7,多义,slice their orders into many small pieces,把订单切成许多小单,slice = 切片→拆单
7,术语,inefficiencies,（市场）低效；定价失灵,"来自""有效市场""概念：价格偏离合理值的机会，量化利润的主要来源"
7,术语,efficient markets,有效市场,经济学概念：价格已充分反映信息的市场
7,多义,the weighted basket of the constituents,成分股的加权组合,"constituent = 指数成分股，不是""选民""；basket = 一篮子"
7,术语,arbitrage / riskless profit,套利 / 无风险利润,
