page,type,raw,translation,note
-7,术语,quant trader,量化交易员,依靠数学模型和计算机程序系统化下单的交易员，与依赖人工判断的主观交易员相对
-7,多义,exploiting market inefficiencies,利用市场低效获利,exploit 本句义：利用（机会）获利；常见义：剥削；inefficiency 指市场定价失灵带来的可赚钱机会
-7,词组,get them up to speed,让他们尽快进入状态,up to speed 达到应有水平；get sb up to speed 帮某人快速掌握所需知识
-7,生词,the myriad of disciplines,纷繁众多的学科领域,myriad 无数、极多；discipline 此处指学科/专业领域，非纪律
-7,词组,first-hand,亲身地；亲眼,与 secondhand（二手的、间接的）相对，指直接经历所得
-7,术语,allocator to smaller quant funds,面向小型量化基金的资金配置者,allocator 指把资金分配给各基金管理人的机构或个人投资者，即出资方（LP）视角
-7,生词,dispassionately,冷静客观地,dis- 否定前缀 + passionate；指不带感情倾向、不偏不倚地（陈述）
-7,难句,"Few people have figured out how to do that, and those of us who have are understandably reluctant to share our secrets.",很少有人真正弄明白了怎么做到这一点，而我们这些弄明白了的人不愿分享自己的秘诀，也是可以理解的。,those of us who have 中 have 是助动词，承前省略 figured out how to do that；understandably reluctant＝不情愿得情有可原
-5,词组,in the wake of,紧随…之后；在…之后,原义为船驶过留下的尾流，引申为紧跟在（重大事件）之后
-5,术语,the August 2007 quant meltdown,2007年8月量化崩盘,指2007年8月初多家量化股票基金数日内同步巨亏又部分反弹的事件；meltdown 原指核反应堆熔毁，引申为市场崩溃
-5,生词,unfathomable,难以理解的；深不可测的,fathom 原为测水深单位，动词引申为弄懂；un-…-able 即无法理解的
-5,生词,retorted,反驳道；回嘴道,指立刻用机智或尖锐的话回应，比 reply 带对抗色彩
-5,难句,"All it took was a brief hesitation in response, and Steve had already punched out an email to Wiley Finance, publisher of his legendary Inside the House of Money, on his Blackberry, insisting that they publish my then-nonexistent (and not-yet-conceived) book.",我只不过回应时略一迟疑，Steve 就已经在他的黑莓手机上敲出一封邮件，发给出版过他那本传奇之作《Inside the House of Money》的 Wiley Finance 出版社，坚持要他们出版我这本当时还不存在（甚至还没构思出来）的书。,All it took was…＝所需要的只是…；and 后半句用过去完成时表动作抢先完成；publisher of… 是 Wiley Finance 的同位语插入；insisting 分词伴随；then-nonexistent＝当时尚不存在的
-5,生词,contentious,争议激烈的,contend（争夺）的形容词，指引发激烈争吵对立的；易与 continuous 形近混淆
-5,生词,a plethora of natural disasters,大量的自然灾害,plethora 正式书面语：过多、大量，相当于 a large number of，原带过剩意味
-5,文化,"FOMO, YOLO, and HODL",FOMO（怕错过）、YOLO（人生只有一次）、HODL（死拿不卖）,散户投机文化三个流行缩略语：Fear Of Missing Out；You Only Live Once；HODL 源自比特币论坛把 hold 拼错的帖子，后指坚决持有不卖
-5,生词,an extant problem,一个现存的问题,extant 正式书面语：现存的、尚存的；易与 extent（程度）形近混淆
-5,生词,ameliorate,改善；缓解,正式书面语，相当于 improve，常用于缓解疾病、问题等
-5,多义,the advent of Large Language Models,大语言模型的问世,advent 本句义：（重大新事物的）出现、到来；宗教中大写 Advent 指基督降临节
-4,生词,eventful,多事的；大事频出的,event + -ful，指一段时间内发生了许多重要事件；与 uneventful（平淡无事）相对
-4,多义,fringe,边缘的；非主流的,本句义：处于行业边缘、少数人使用的；常见义：流苏、（头发）刘海、外缘
-4,生词,ubiquitous,无处不在的,正式书面语，指同时出现在各处、随处可见，近义 omnipresent
-4,术语,Alternative datasets,另类数据（集）,指行情和财报以外的非传统数据源（如卫星图像、刷卡消费、网络爬虫数据），用于挖掘投资信号
-4,生词,an explication of,对…的详细阐释,explicate 比 explain 正式，强调逐点展开说明
-4,多义,far more topical,应时得多；更贴近当时热点,topical 本句义：与当下热点相关的；另一常见义（医药）：外用的、局部的
-4,词组,sniff out,嗅出；发掘,原指猎犬凭嗅觉找出目标，引申为敏锐地发现隐藏的（机会、问题）
-4,术语,utility functions,效用函数,经济学概念：把参与者偏好和满足感数量化的函数；参与者效用函数各异导致行为差异，从而产生可利用的定价偏差
-4,生词,suboptimal,次优的,sub-（低于）+ optimal（最优的），指未达到最优水平的
-4,词组,gain prominence,声名鹊起；日益受到瞩目,prominence 突出地位；gain/rise to prominence 指影响力和知名度不断上升
-4,难句,"Quants continue to have only modestly-better-than-random odds of success on any given forecast or position and continue to rely on diversification of bets (either across many positions at once, or by taking many bets over time, or both).",量化交易者在任何单笔预测或头寸上的成功率仍然只比随机猜测略高，因而继续依靠押注的分散化——要么同时持有许多头寸，要么随时间做许多次押注，要么两者兼有。,modestly-better-than-random 连字符复合形容词修饰 odds；and 并列两个 continue to；括号内 either…or…or both 三选结构说明分散化的途径
-3,词组,on the back of Steve’s say-so,全凭 Steve 的一句担保,on the back of 依靠、凭借；say-so 口头保证、一句话（无需书面依据）
-3,生词,deftly,灵巧娴熟地,deft 手巧的、利落的；形容技巧熟练又轻松的做事方式
-3,词组,sounding board,倾诉与检验想法的对象；参谋,原指乐器或讲坛上的共鸣板，引申为帮你检验想法、给出反馈的人
-3,多义,a much bigger lift,一件费力得多的大工程,lift 本句义：费力的任务、工作量（heavy lift）；常见义：举起、电梯、搭便车
3,多义,trading desks,交易台；交易部门,desk 此处指投行或基金内按业务划分的交易团队，非字面桌子
3,多义,capitalize on his quantitative background,利用（自己的量化背景）,capitalize on 本句义：趁势利用…获益；常见义：资本化、把…大写
3,多义,the Street,华尔街,Wall Street 的简称，泛指美国证券业；首字母大写以区别普通 street
3,多义,equity volume,股票成交量,equity 此处指股票（而非净资产、权益）；volume 指成交量
3,词组,More relevant to his investors,对他的投资人来说更要紧的是,relevant to 与…切身相关；句首形容词短语作状语引出更重要的信息
3,多义,long this stock or short that one,做多这只股票或做空那只,long/short 此处表持有多头/空头头寸；常见义：长的/短的
3,多义,universe of thousands of stocks,数千只股票的股票池,universe 本句义：策略覆盖的全部可交易标的范围；常见义：宇宙
3,词组,for the most part,大体上；多数情况下,插入语，相当于 mostly、in general
3,多义,the health of his strategy,策略的健康状况,health 引申义：运行状态是否良好，非身体健康
3,词组,on an ongoing basis,持续不断地,on a … basis 表以…方式/频率；ongoing 进行中的、持续的
3,难句,"Despite trading billions of dollars of stock every day, there is no shouting at John’s hedge fund, no orders being given over the phone, and no drama in the air; in fact, the only sign that there is any trading going on at all is the large flat-screen television in John’s office that shows the strategy’s performance throughout the day and its trading volume.",尽管每天交易数十亿美元的股票，John 的对冲基金里却没有人喊单、没有人打电话下指令、也没有任何紧张戏剧性的气氛；事实上，唯一能看出这里在交易的迹象，是 John 办公室里那台全天显示策略业绩和成交量的大平板电视。,Despite + 动名词作让步状语；no shouting、no orders、no drama 三个并列否定；分号后主语是 the only sign（带 that 同位语从句），表语 television 又带 that 定语从句
